,episode,make_span,reward,no_op_cnt
0,0.0,2591.0,94.56565656565668,0.0
1,0.0,2763.0,59.81818181818176,0.0
2,0.0,2492.0,114.56565656565675,0.0
3,1.0,2925.0,27.090909090909047,0.0
4,1.0,2824.0,47.49494949494951,0.0
5,1.0,2617.0,89.31313131313136,0.0
6,2.0,2734.0,65.6767676767679,0.0
7,2.0,2855.0,41.23232323232344,0.0
8,2.0,2564.0,100.02020202020208,0.0
9,3.0,2781.0,56.18181818181816,0.0
10,3.0,2640.0,84.66666666666676,0.0
11,3.0,2674.0,77.79797979797966,0.0
12,4.0,2683.0,75.97979797979798,0.0
13,4.0,3112.0,-10.686868686868483,0.0
14,4.0,3137.0,-15.737373737373636,0.0
15,5.0,2977.0,16.585858585858656,0.0
16,5.0,2834.0,45.4747474747477,0.0
17,5.0,2995.0,12.949494949495122,0.0
18,6.0,2930.0,26.08080808080805,0.0
19,6.0,2676.0,77.39393939393955,0.0
20,6.0,2989.0,14.161616161616125,0.0
21,7.0,2721.0,68.30303030303023,0.0
22,7.0,2918.0,28.505050505050658,0.0
23,7.0,2736.0,65.27272727272728,0.0
24,8.0,2532.0,106.48484848484856,0.0
25,8.0,2842.0,43.85858585858574,0.0
26,8.0,2749.0,62.64646464646475,0.0
27,9.0,2691.0,74.36363636363646,0.0
28,9.0,2684.0,75.77777777777776,0.0
29,9.0,2684.0,75.77777777777783,0.0
30,10.0,2734.0,65.67676767676772,0.0
31,10.0,2591.0,94.56565656565655,0.0
32,10.0,2578.0,97.19191919191934,0.0
33,11.0,2719.0,68.70707070707071,0.0
34,11.0,2812.0,49.91919191919192,0.0
35,11.0,2649.0,82.84848484848484,0.0
36,12.0,2873.0,37.595959595959755,0.0
37,12.0,2890.0,34.16161616161628,0.0
38,12.0,2999.0,12.141414141414312,0.0
39,13.0,2899.0,32.34343434343455,0.0
40,13.0,2887.0,34.76767676767686,0.0
41,13.0,3099.0,-8.060606060606023,0.0
42,14.0,2673.0,77.99999999999989,0.0
43,14.0,2767.0,59.010101010101046,0.0
44,14.0,2660.0,80.62626262626256,0.0
45,15.0,2656.0,81.43434343434348,0.0
46,15.0,2743.0,63.858585858585855,0.0
47,15.0,2956.0,20.828282828282806,0.0
48,16.0,2526.0,107.69696969696982,0.0
49,16.0,2748.0,62.848484848484766,0.0
50,16.0,3052.0,1.4343434343434147,0.0
51,17.0,2835.0,45.27272727272733,0.0
52,17.0,2558.0,101.23232323232318,0.0
53,17.0,2874.0,37.39393939393936,0.0
54,18.0,2824.0,47.49494949494972,0.0
55,18.0,3002.0,11.535353535353654,0.0
56,18.0,2752.0,62.040404040404184,0.0
57,19.0,2619.0,88.90909090909074,0.0
58,19.0,2757.0,61.030303030303116,0.0
59,19.0,2575.0,97.79797979797985,0.0
60,20.0,2682.0,76.18181818181824,0.0
61,20.0,2737.0,65.07070707070716,0.0
62,20.0,2818.0,48.707070707070855,0.0
63,21.0,2826.0,47.090909090908966,0.0
64,21.0,2660.0,80.6262626262627,0.0
65,21.0,2815.0,49.31313131313144,0.0
66,22.0,2624.0,87.89898989898971,0.0
67,22.0,2746.0,63.252525252525274,0.0
68,22.0,2831.0,46.08080808080809,0.0
69,23.0,2633.0,86.08080808080815,0.0
70,23.0,2672.0,78.20202020202024,0.0
71,23.0,2804.0,51.53535353535351,0.0
72,24.0,2899.0,32.34343434343448,0.0
73,24.0,2560.0,100.82828282828285,0.0
74,24.0,2722.0,68.10101010101012,0.0
75,25.0,2735.0,65.47474747474755,0.0
76,25.0,2728.0,66.88888888888891,0.0
77,25.0,3048.0,2.2424242424243026,0.0
78,26.0,2699.0,72.74747474747473,0.0
