,op_13102,converged_iterations,total_time
la21,1107.0,8468.0,961.6909294128418
la22,986.0,11999.0,1349.2828259468079
la23,1048.0,7478.0,836.1079165935516
la24,1027.0,4844.0,548.124213218689
la25,1096.0,4724.0,535.137689113617
la26,1318.0,11108.0,1568.5249121189117
la27,1318.0,11999.0,1700.9989938735962
la28,1325.0,10736.0,1751.5536947250366
la29,1260.0,7562.0,1565.8080656528473
la30,1403.0,9896.0,2114.1417598724365
la31,1820.0,11303.0,3600.264395236969
la32,1924.0,10085.0,3600.9548904895782
la33,1812.0,8273.0,3600.4436480998993
la34,1876.0,8327.0,3600.578717947006
la35,1912.0,8387.0,3600.7930085659027
la36,1363.0,7742.0,2238.7090611457825
la37,1479.0,4544.0,1336.029480934143
la38,1325.0,6101.0,1789.0080423355103
la39,1341.0,4289.0,1256.3898792266846
la40,1318.0,4943.0,1459.3008263111115
ta21,1896.0,7028.0,3600.3358454704285
ta22,1853.0,7016.0,3592.5882666110992
ta31,2045.0,5753.0,3601.6339592933655
ta32,2151.0,5609.0,3602.92924618721
ta41,2531.0,1916.0,3607.924212694168
ta42,2480.0,302.0,22913.693379163742
